id,name
__export__.product_brand_2,Aptamil
__export__.product_brand_3,Holle
__export__.product_brand_4,Bebivita
__export__.product_brand_5,Cumart
__export__.product_brand_6,Lugomil
__export__.product_brand_7,Nestle beba
__export__.product_brand_8,Rapunzel
__export__.product_brand_9,Jensen's
__export__.product_brand_10,Organic Kid's Pasta
__export__.product_brand_11,sanosan
__export__.product_brand_12,Snug
__export__.product_brand_13,Babix-inhalat n
__export__.product_brand_14,Weleda
__export__.product_brand_15,Hauck
__export__.product_brand_16,Zymafluor
__export__.product_brand_17,Doppel Herz 
__export__.product_brand_18,Hartmann molimed
__export__.product_brand_19,Twardy
__export__.product_brand_20,SnugSMART
__export__.product_brand_21,Herbacin 
__export__.product_brand_22,Brita
__export__.product_brand_23,Hipp
__export__.product_brand_24,特福芬Topfer
