id,old_id,volume,default_code,weight_net,place_production/id,name,brand_id/id######,standard_price,list_price,weight,variants,categ_id/id#####,uom_id/id,suitable_crowd,formula
__export__.product_product_yks_001,1,,DEAP001,800,base.de,德国爱他美Aptamil德国爱他美奶粉pre段（0-6个月）800g,Aptamil,,318,,800g/罐,,product.product_uom_unit,pre段（0-6个月）,有机
__export__.product_product_yks_002,2,,DEAP002,800,base.de,德国爱他美Aptamil德国爱他美奶粉1段（0-6个月）800g,Aptamil,,318,,800g/罐,,product.product_uom_unit,1段（0-6个月）,有机
__export__.product_product_yks_003,3,,DEAP003,800,base.de,德国爱他美Aptamil德国爱他美奶粉2段（6-10个月）,Aptamil,,318,,800g/罐,,product.product_uom_unit,2段（6-10个月）,有机
__export__.product_product_yks_004,4,,DEAP004,800,base.de,德国爱他美Aptamil德国爱他美奶粉3段（10-12个月）,Aptamil,,318,,800g/罐,,product.product_uom_unit,3段（10-12个月）,有机
__export__.product_product_yks_005,5,,DEAP005,600,base.de,德国爱他美Aptamil德国爱他美奶粉1+（12个月以上）600g,Aptamil,,236,,600g/盒,,product.product_uom_unit,1+（12个月以上）,有机
__export__.product_product_yks_006,6,,DEAP006,600,base.de,德国爱他美Aptamil德国爱他美奶粉2+（2岁以上）奶粉600g,Aptamil,,286,,600g/盒,,product.product_uom_unit,2+（2岁以上）,有机
__export__.product_product_yks_007,7,,DEAP007,600,base.de,德国爱他美Aptamil德国爱他美HA免敏奶粉Pre新生儿奶粉,Aptamil,,299,,600g/盒,,product.product_uom_unit,pre段新生儿,免敏
__export__.product_product_yks_008,8,,DEAP008,600,base.de,德国爱他美Aptamil德国爱他美HA免敏奶粉1段（0-6个月）奶粉600g,Aptamil,,294,,600g/盒,,product.product_uom_unit,1段（0-6个月）,免敏
__export__.product_product_yks_009,9,,DEAP009,600,base.de,德国爱他美Aptamil德国爱他美HA免敏奶粉2段（6-10个月）奶粉600g,Aptamil,,289,,600g/盒,,product.product_uom_unit,2段（6-10个月）,免敏
__export__.product_product_yks_010,10,,DEAP010,600,base.de,德国爱他美Aptamil德国爱他美HA免敏奶粉3段（10-12个月）奶粉600g,Aptamil,,326,,600g/盒,,product.product_uom_unit,3段（10-12个月）,免敏
__export__.product_product_yks_011,11,,DEHO001,400,base.de,德国凯莉泓乐Holle德国凯莉泓乐奶粉1段（0-6个月）400G 英文版,Holle,,228,,400g/盒,,product.product_uom_unit,1段（0-6个月）,有机
__export__.product_product_yks_012,12,,DEHO002,600,base.de,德国凯莉泓乐Holle德国凯莉泓乐奶粉2段（6-12个月）600G 英文版,Holle,,358,,600g/盒,,product.product_uom_unit,2段（6-12个月）,有机
__export__.product_product_yks_013,13,,DEHO003,600,base.de,德国凯莉泓乐Holle德国凯莉泓乐奶粉3段（1岁以上）600G 英文版,Holle,,246,,600g/盒,,product.product_uom_unit,3段（1岁以上,有机
__export__.product_product_yks_014,14,,DEHO004,400,base.de,德国凯莉泓乐Holle德国凯莉泓乐羊奶粉(6-36个月)400G 英文版,Holle,,315,,400g/盒,,product.product_uom_unit,(6-36个月),有机
__export__.product_product_yks_015,15,,DEHO005,400,base.de,德国凯莉泓乐Holle德国凯莉泓乐奶粉1段（0-6个月）400G 德文版,Holle,,246,,400g/盒,,product.product_uom_unit,1段（0-6个月）,有机
__export__.product_product_yks_016,16,,DEHO006,600,base.de,德国凯莉泓乐Holle德国凯莉泓乐奶粉2段（6-10个月）600G 德文版,Holle,,246,,600g/盒,,product.product_uom_unit,2段（6-10个月,有机
